"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","rmsd","rmse","intercept","metric","method","point"
"COR_scaled_PAA_120","all",1400,0.57315868764176,1.01388049714919e-260,1.16569922601776,1.12642705354468,1.20634059814377,0.131536879141978,0.11081579974506,0.152257958538896,1,0,0,7.83969724441566e-34,0.28146774315776,0.203104905391927,0.131536879141978,"COR_scaled","PAA","120"
"COR_scaled_PAA_160","all",1400,0.578859424784305,8.35853104271323e-265,1.12672929889276,1.08901995128541,1.16574440301566,0.143854155271036,0.122976340201103,0.164731970340968,1,8.35764790707572e-12,0,3.2382532065462e-39,0.277758391221685,0.197478963858507,0.143854155271036,"COR_scaled","PAA","160"
"COR_scaled_PAA_200","all",1398,0.57484503188202,1.49761804469765e-261,1.12263576976523,1.08486127539039,1.16172555896867,0.153799628777358,0.133260609829912,0.174338647724803,1,4.37958558308083e-11,0,1.56912589613739e-45,0.282847829969912,0.197619368700594,0.153799628777358,"COR_scaled","PAA","200"
"COR_scaled_PAA_400","all",1407,0.561926088855086,4.36502079979496e-254,1.13247429807545,1.09392637095986,1.17238058232032,0.144635842097219,0.123610858945694,0.165660825248744,1,2.54596344007041e-12,0,4.09902477236308e-39,0.282008403978554,0.201822292738889,0.144635842097219,"COR_scaled","PAA","400"
"COR_scaled_PA_40","all",1148,0.450668841692741,2.95039320029825e-151,0.936884096189075,0.897502574001612,0.977993640484471,0.0703426192259028,0.0410239760057149,0.0996612624460907,1,0.00294420703397802,0,2.8151542470455e-06,0.243761921867635,0.233449818342269,0.0703426192259028,"COR_scaled","PA","40"
"COR_scaled_PA_80","all",1321,0.554220806581263,1.15913520869844e-233,1.00683968016771,0.971182717100116,1.04380578825284,0.0517714272224443,0.0266892926769762,0.0768535617679125,1,0.7108581679282,0,5.43781194145338e-05,0.208498255757711,0.201505751895079,0.0517714272224443,"COR_scaled","PA","80"
"COR_scaled_PA_120","all",1363,0.621935566852057,9.36283305387569e-290,1.01897336086896,0.986201985041713,1.05283372565577,0.0507099195291359,0.0286769472144177,0.0727428918438542,1,0.259607457946091,0,6.87996128590145e-06,0.197504461609079,0.189254782718108,0.0507099195291359,"COR_scaled","PA","120"
"COR_scaled_PA_160","all",1371,0.638066423354131,2.0535780739001e-304,1.02064602305107,0.988609912610574,1.05372027033307,0.06131726925714,0.0394764473803205,0.0831580911339595,1,0.208995799917378,0,4.34433889706169e-08,0.19406662412354,0.181254323719389,0.06131726925714,"COR_scaled","PA","160"
"COR_scaled_PA_200","all",1375,0.664766478577255,0,1.0259505927542,0.994984251638346,1.05788068207062,0.0612692840368041,0.0404586768472941,0.0820798912263141,1,0.101283405812804,0,9.47732111144159e-09,0.186857293921286,0.172432890679353,0.0612692840368041,"COR_scaled","PA","200"
"COR_scaled_PA_400","all",1396,0.681508272388025,0,1.06508429919511,1.0339713235067,1.09713348774956,0.0395332063900958,0.0188502236082848,0.0602161891719069,1,3.17433258038013e-05,0,0.000184434477095919,0.181424839873263,0.168054339919495,0.0395332063900958,"COR_scaled","PA","400"
"COR_scaled_PBG_40","all",1342,0.364450418040872,4.64566554848948e-134,1.61388621164023,1.54640818600621,1.68430866293409,0.142650080162043,0.11614964385633,0.169150516467755,1,0,0,4.2881939531402e-25,0.414228940811656,0.257531003776895,0.142650080162043,"COR_scaled","PBG","40"
"COR_scaled_PBG_80","all",1386,0.407656642205717,1.40142553028595e-159,1.7002162817308,1.63261553874519,1.77061612857384,0.125506955411393,0.0998160803989906,0.151197830423795,1,0,0,4.17448530430385e-21,0.41430584220157,0.240432737077884,0.125506955411393,"COR_scaled","PBG","80"
"COR_scaled_PBG_120","all",1400,0.438057757809123,3.48682711730395e-177,1.65643360154795,1.59256777125046,1.72286060654281,0.134600547082287,0.110748343135904,0.15845275102867,1,0,0,2.31794591573712e-27,0.403505060451321,0.239624232620301,0.134600547082287,"COR_scaled","PBG","120"
"COR_scaled_PBG_160","all",1400,0.435932459577321,4.89151894915632e-176,1.66052077524844,1.59637883108108,1.72723992034172,0.143554464765614,0.119202486230135,0.167906443301092,1,0,0,1.32889880495216e-29,0.415447628776454,0.235366338738977,0.143554464765614,"COR_scaled","PBG","160"
"COR_scaled_PBG_200","all",1398,0.426358139017219,1.11024517521629e-170,1.65940264924659,1.59472773328264,1.72670048614409,0.153407562920195,0.12934362782164,0.17747149801875,1,0,0,4.3297540523605e-34,0.419087864867871,0.236743091671613,0.153407562920195,"COR_scaled","PBG","200"
"COR_scaled_PBG_400","all",1407,0.430000774279696,1.02932726584407e-173,1.71504511679517,1.6486196433137,1.7841469768799,0.128828076891569,0.10413604970039,0.153520104082749,1,0,0,9.23139266055692e-24,0.415060976975803,0.236650513837743,0.128828076891569,"COR_scaled","PBG","400"
"PRG_scaled_PAA_40","all",1342,0.255299362965825,7.27107860913102e-88,0.719810607568031,0.687291208727858,0.753868671951276,0.270233113267861,0.246081298791742,0.29438492774398,1,0,0,1.78819819971874e-91,0.375027003742583,0.287739465236857,0.270233113267861,"PRG_scaled","PAA","40"
"PRG_scaled_PAA_80","all",1386,0.295047325573868,3.32886584363231e-107,0.738928934146867,0.706938090473925,0.772367449253415,0.215614582024511,0.190740237243379,0.240488926805642,1,0,0,4.92884899283601e-59,0.334118164745869,0.270270551614125,0.215614582024511,"PRG_scaled","PAA","80"
"PRG_scaled_PAA_120","all",1400,0.345485817673144,7.7042783900148e-131,0.741538336761339,0.710731157046894,0.773680876988051,0.204778021657863,0.181330478254447,0.22822556506128,1,0,0,7.14251296471002e-60,0.327371394967944,0.264573494579439,0.204778021657863,"PRG_scaled","PAA","120"
"PRG_scaled_PAA_160","all",1400,0.367235347269795,4.11537129301785e-141,0.736050774716508,0.705973033111737,0.767409968299771,0.20606476254746,0.182361661543988,0.229767863550933,1,0,0,2.16655932788522e-59,0.314911008918129,0.253462775912603,0.20606476254746,"PRG_scaled","PAA","160"
"PRG_scaled_PAA_200","all",1398,0.343085144582797,1.52217929479976e-129,0.712253337872754,0.682588958664886,0.743206890283057,0.230588454506484,0.207424219186909,0.253752689826059,1,0,0,2.85932996731885e-75,0.331454113901795,0.258658934026155,0.230588454506484,"PRG_scaled","PAA","200"
"PRG_scaled_PAA_400","all",1407,0.333570113312272,5.6666755155458e-126,0.720661001545159,0.690529616536396,0.75210717500152,0.221515021994296,0.19796754987227,0.245062494116321,1,0,0,2.94672268841719e-68,0.331473988669752,0.262151236118955,0.221515021994296,"PRG_scaled","PAA","400"
"PRG_scaled_PA_40","all",1148,0.349967979684984,2.57721677457996e-109,0.635087115003287,0.606103426274034,0.665456795257976,0.250796668120977,0.225857704860489,0.275735631381466,1,0,0,7.77628876691027e-75,0.366122656703335,0.260231028406662,0.250796668120977,"PRG_scaled","PA","40"
"PRG_scaled_PA_80","all",1321,0.422780865737266,1.356545090325e-159,0.641391357858486,0.615609303332851,0.668253178937297,0.289426904988546,0.269008423462897,0.309845386514195,1,0,0,2.5881865459183e-134,0.341572395385254,0.235753434655748,0.289426904988546,"PRG_scaled","PA","80"
"PRG_scaled_PA_120","all",1363,0.480163728977028,1.38388196252027e-195,0.671781013234013,0.646519256130968,0.698029835093262,0.295191920759173,0.276961034817141,0.313422806701206,1,0,0,4.00397562119506e-166,0.335412219700822,0.228106036187488,0.295191920759173,"PRG_scaled","PA","120"
"PRG_scaled_PA_160","all",1371,0.51746944030243,7.06583312777437e-219,0.68383482880286,0.659113320286933,0.709483572385189,0.297816685706338,0.279843893437878,0.315789477974798,1,0,0,2.93041327035496e-172,0.31552752846508,0.214064212439692,0.297816685706338,"PRG_scaled","PA","160"
